weapon_name,slot,mod_name,damage_change,damage_change_is_percent,fire_rate_change,range_change,accuracy_change,ap_cost_change,recoil_change,spread_change,converts_to_auto,converts_to_semi,crit_damage_bonus,hip_fire_accuracy_bonus,armor_penetration,is_suppressed,is_scoped,mag_size_change,reload_speed_change,weight_change,value_change_percent,required_perk,required_perk_rank,form_id,source_url
Handmade rifle,barrel,True short(Short),,0,,,+4,,-10%,,0,0,,,,0,0,,,+2.4,+50%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,Aligned grip,,0,,,,-5%,-12%,,0,0,,,,0,0,,,+0.8,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,Bruising grip,,0,,,-3,,,,0,0,,,,0,0,,,+1.2,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,Forceful(Marksman's),,0,,,+1,-5%,-22%,,0,0,,,,0,0,,,+2.8,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,Precise grip,,0,,,,,,,0,0,,,,0,0,,,+1.6,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,Stabilized(Marksman's),,0,,,+1,,-35%,,0,0,,,,0,0,,,+3.6,+60%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,stock,True(Recoil Compensated),,0,,,+4,,-10%,,0,0,,,,0,0,,,+3.6,+60%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Drum(Maximum Capacity),,0,,,,+20%,,,0,0,,,,0,0,,,+1.2,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Perforating(Armor Piercing),,0,,,,+20%,,,0,0,,,,0,0,,,+1.2,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Piercing(Armor Piercing),,0,,,,+5%,,,0,0,,,,0,0,,,+1,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Quick,,0,,,,-5%,,,0,0,,,,0,0,,,+0.8,+20%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Stinging(High Capacity),,0,,,,+25%,,,0,0,,,,0,0,,,+1.2,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,magazine,Swift(High Capacity),,0,,,,,,,0,0,,,,0,0,,,+1,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Glow(Glow-Sighted),,0,,,,,,,0,0,,,,0,0,,,+0.2,+10%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Long night vision scope(Night-Vision),,0,,,+37,,,,0,0,,,,0,1,,,+1.2,+80%,plan,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Long scope(Scoped),,0,,,+37,,,,0,0,,,,0,1,,,+1.2,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Medium night vision scope(Night-Vision),,0,,,+24,,,,0,0,,,,0,1,,,+1,+60%,plan,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Medium scope(Scoped),,0,,,+24,,,,0,0,,,,0,1,,,+1,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Reflex sight (circle)(Tactical),,0,,,+8,-15%,,,0,0,,,,0,0,,,+0.4,+25%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Reflex sight (dot)(Tactical),,0,,,+8,-15%,,,0,0,,,,0,0,,,+0.4,+25%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Short night vision scope(Night-Vision),,0,,,+17,+30%,,,0,0,,,,0,1,,,+1,+40%,plan,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,sight,Short scope(Scoped),,0,,,+17,,,,0,0,,,,0,1,,,+0.8,+20%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,Bayonet(Bayoneted),,0,,-18,,,,,0,0,,,,0,0,,,+0.4,+10%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,Compensator(Compensated),,0,,-12,+1,,-15%,,0,0,,,,0,0,,,+0.8,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,Large bayonet(Bayoneted),,0,,-18,,,,,0,0,,,,0,0,,,+1,+20%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,Muzzle brake,,0,,-18,+1,,-10%,,0,0,,,,0,0,,,+0.8,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,No muzzle,,0,,,,,,,0,0,,,,0,0,,,,,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,muzzle,Suppressor(Suppressed),,0,,-18,+1,,-12%,,0,0,,,,1,0,,,+1,+80%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
The Fixer,receiver,.38,-12.5%,0,,,,,,,0,0,,,,0,0,,,,,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Automatic .38(.38 Automatic),-25%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1,+60%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Automatic,-10%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+0.7,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Calibrated,,0,,,,,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Critical .38,-25%,0,,,,,,,0,0,,,,0,0,,,+1,+70%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Focused automatic,,0,+42,-12,-5,-50%,,,1,0,,,,0,0,,,+1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Hair trigger,,0,+17,,-3,-10%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Hardened,+25%,0,,,,,,,0,1,,,,0,0,,,+2.1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Hasty .38,-25%,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1,+60%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Powerful automatic,+12.5%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1.6,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Precise .38,-25%,0,,,+2,,,,0,0,,,,0,0,,,+0.9,+50%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Prime automatic,+15%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+0.7,+140%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Prime,+25%,0,,,,,,,0,0,,,,0,0,,,,+100%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Refined .38,-25%,0,,,+1,,,,0,0,,,,0,0,,,+2.1,+80%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Refined,+12.5%,0,,,+2,,,,0,0,,,,0,0,,,+1.4,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Scorched killer's,-20%,0,,,,,,,0,0,,,,0,0,,,+0.7,+100%,quest,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Severe,+12.5%,0,,,,,,,0,0,,,,0,0,,,+1.6,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Snappy,,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1,+70%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Steadfast,,0,+7,,+1,-5%,,,0,0,,,,0,0,,,+0.9,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,True,,0,,,+3,,,,0,0,,,,0,0,,,+2.1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Tweaked automatic,,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1,+70%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Vicious,,0,,,+2,,,,0,0,,,,0,0,,,+0.9,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,receiver,Vigorous,+12.5%,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1.6,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Aligned long,,0,,+84,,-5%,+37%,,0,0,,,,0,0,,,+0.7,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Aligned short(Short),,0,,,+3,-5%,-22%,,0,0,,,,0,0,,,+0.7,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Stabilized long,,0,,+84,-2,,+25%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Stabilized short(Short),,0,,,+1,,-35%,,0,0,,,,0,0,,,+2.1,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Standard long,,0,,+84,-3,,+50%,,0,0,,,,0,0,,,,+20%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,Standard short(Short),,0,,,,,-10%,,0,0,,,,0,0,,,,+10%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,True long,,0,,+84,,,+50%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,barrel,True short(Short),,0,,,+3,,-10%,,0,0,,,,0,0,,,+2.1,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Aligned(Recoil Compensated),,0,,,+3,-5%,-22%,,0,0,,,,0,0,,,+1.8,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Bruising,,0,,,,,-10%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Forceful,,0,,,,-5%,-22%,,0,0,,,,0,0,,,+2.4,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Precise,,0,,,+2,,-10%,,0,0,,,,0,0,,,+2.4,+70%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Stabilized(Recoil Compensated),,0,,,+1,,-35%,,0,0,,,,0,0,,,+3.1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,Standard short,,0,,,,,-10%,,0,0,,,,0,0,,,+1,+20%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,stock,True,,0,,,+3,,-10%,,0,0,,,,0,0,,,+3.1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Large(High Capacity),,0,,,,+10%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Perforating(Armor Piercing),,0,,,,+20%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Piercing(Armor Piercing),,0,,,,+5%,,,0,0,,,,0,0,,,+0.9,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Quick,,0,,,,-5%,,,0,0,,,,0,0,,,+0.7,+20%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Stinging(High capacity),,0,,,,+15%,,,0,0,,,,0,0,,,+1,+60%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,magazine,Swift(High Capacity),,0,,,,,,,0,0,,,,0,0,,,+0.9,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Glow front sight ring(Sighted),,0,,,,,,,0,0,,,,0,0,,,+0.2,+10%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Glow(Glow-Sighted),,0,,,,,,,0,0,,,,0,0,,,+0.2,+10%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Long night vision scope(Night-Vision),,0,,,+37,,,,0,0,,,,0,1,,,+1,+80%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Long recon scope(Scoped Recon),,0,,,+37,,,,0,0,,,,0,1,,,+1.2,+100%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Long scope(Scoped),,0,,,+37,,,,0,0,,,,0,1,,,+1,+50%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Medium night vision scope(Night-Vision),,0,,,+23,,,,0,0,,,,0,1,,,+0.9,+60%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Medium scope(Scoped),,0,,,+23,,,,0,0,,,,0,1,,,+0.9,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Reflex sight (circle)(Tactical),,0,,,+7,-15%,,,0,0,,,,0,0,,,+0.4,+25%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Reflex sight (dot)(Tactical),,0,,,+7,-15%,,,0,0,,,,0,0,,,+0.4,+25%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Short night vision scope(Night-Vision),,0,,,+17,+30%,,,0,0,,,,0,1,,,+0.9,+40%,plan,1,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Short recon scope(Scoped Recon),,0,,,+10,+20%,,,0,0,,,,0,1,,,+0.9,+60%,Gunsmith,4,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Short scope(Scoped),,0,,,+17,,,,0,0,,,,0,1,,,+0.7,+20%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,sight,Standard front sight ring(Sighted),,0,,,,,,,0,0,,,,0,0,,,+0.2,+5%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,muzzle,Compensator(Compensated),,0,,-12,+3,,-15%,,0,0,,,,0,0,,,+0.7,+40%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,muzzle,Large bayonet(Bayoneted),,0,,-18,,,,,0,0,,,,0,0,,,+0.9,+20%,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,muzzle,Muzzle brake,,0,,-18,+3,,-10%,,0,0,,,,0,0,,,+0.7,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,muzzle,No muzzle,,0,,,,,,,0,0,,,,0,0,,,,,,,,https://fallout.fandom.com/wiki/The_Fixer
The Fixer,muzzle,Suppressor(Suppressed),,0,,-18,,,-12%,,0,0,,,,1,0,,,+0.9,+80%,,,,https://fallout.fandom.com/wiki/The_Fixer
Combat rifle,receiver,.38,-12.5%,0,,,,,,,0,0,,,,0,0,,,,,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Automatic .38(.38 Automatic),-25%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1,+60%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Automatic,-10%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+0.7,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Calibrated,,0,,,,,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Critical .38,-25%,0,,,,,,,0,0,,,,0,0,,,+1,+70%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Focused automatic,,0,+42,-12,-5,-50%,,,1,0,,,,0,0,,,+1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Hair trigger,,0,+17,,-3,-10%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Hardened,+25%,0,,,,,,,0,1,,,,0,0,,,+2.1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Hasty .38,-25%,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1,+60%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Powerful automatic,+12.5%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1.6,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Precise .38,-25%,0,,,+2,,,,0,0,,,,0,0,,,+0.9,+50%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Prime automatic,+15%,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+0.7,+140%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Prime,+25%,0,,,,,,,0,0,,,,0,0,,,,+100%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Refined .38,-25%,0,,,+1,,,,0,0,,,,0,0,,,+2.1,+80%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Refined,+12.5%,0,,,+2,,,,0,0,,,,0,0,,,+1.4,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Scorched killer's,-20%,0,,,,,,,0,0,,,,0,0,,,+0.7,+100%,quest,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Severe,+12.5%,0,,,,,,,0,0,,,,0,0,,,+1.6,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Snappy,,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1,+70%,plan,1,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Steadfast,,0,+7,,+1,-5%,,,0,0,,,,0,0,,,+0.9,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,True,,0,,,+3,,,,0,0,,,,0,0,,,+2.1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Tweaked automatic,,0,+42,-12,-6,-50%,,,1,0,,,,0,0,,,+1,+70%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Vicious,,0,,,+2,,,,0,0,,,,0,0,,,+0.9,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,receiver,Vigorous,+12.5%,0,+7,,-1,-5%,,,0,0,,,,0,0,,,+1.6,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Aligned long,,0,,+84,,-5%,+37%,,0,0,,,,0,0,,,+0.7,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Aligned short(Short),,0,,,+3,-5%,-22%,,0,0,,,,0,0,,,+0.7,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Stabilized long,,0,,+84,-2,,+25%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Stabilized short(Short),,0,,,+1,,-35%,,0,0,,,,0,0,,,+2.1,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Standard long,,0,,+84,-3,,+50%,,0,0,,,,0,0,,,,+20%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,Standard short(Short),,0,,,,,-10%,,0,0,,,,0,0,,,,+10%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,True long,,0,,+84,,,+50%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,barrel,True short(Short),,0,,,+3,,-10%,,0,0,,,,0,0,,,+2.1,+50%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Aligned(Recoil Compensated),,0,,,+3,-5%,-22%,,0,0,,,,0,0,,,+1.8,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Bruising,,0,,,,,-10%,,0,0,,,,0,0,,,+2.1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Forceful,,0,,,,-5%,-22%,,0,0,,,,0,0,,,+2.4,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Precise,,0,,,+2,,-10%,,0,0,,,,0,0,,,+2.4,+70%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Stabilized(Recoil Compensated),,0,,,+1,,-35%,,0,0,,,,0,0,,,+3.1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,Standard short,,0,,,,,-10%,,0,0,,,,0,0,,,+1,+20%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,stock,True,,0,,,+3,,-10%,,0,0,,,,0,0,,,+3.1,+60%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,magazine,Large(High Capacity),,0,,,,+10%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
Combat rifle,magazine,Perforating(Armor Piercing),,0,,,,+20%,,,0,0,,,,0,0,,,+1,+40%,,,,https://fallout.fandom.com/wiki/Combat_rifle_(Fallout_76)
