name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Duchess's Dram,food,,+8 HP/s (10s)-2 INT (4m),,,,,,-2 INT,,,,,00572D17,,https://fallout.fandom.com/wiki/Duchess%27s_Dram
Firecracker berry juice,drink,,+25% Critical damage for 30 min,,,+2,,15%,,,,0.5,8,00294524,Super Duper,https://fallout.fandom.com/wiki/Firecracker_berry_juice
Hard lemonade,food,,Fortify AP +30AP regen +10% for 10 minutes,,,,,,,Alcohol addiction (0%)-1 Charisma-1 Agility,,0.5,10,0045DAC2,,https://fallout.fandom.com/wiki/Hard_lemonade
High Voltage Hefe,alcohol,,"Improves energy weapon damage by 15%, but increases the condition cost 15% for 5 minutes",,,,,,,,,,,003EC3E7,,https://fallout.fandom.com/wiki/High_Voltage_Hefe
Hoppy Hunter IPA,food,,"Increased scope stability and damage versus animals, but reduced V.A.T.S. accuracy.",,,,,,,,,,,00454128,,https://fallout.fandom.com/wiki/Hoppy_Hunter_IPA
Infused bloodleaf tea,drink,,+20 Disease Resistance for 60 minutes,,,,,,,,,,,003C60F1,,https://fallout.fandom.com/wiki/Infused_bloodleaf_tea
Infused soot flower tea,drink,,+20 Max AP,,,,,,,,,,,003C60F4,,https://fallout.fandom.com/wiki/Infused_soot_flower_tea
Lead champagne,food,,+3 Fall Speed100 Rad Resistance+15 Damage Resistance (vintage),,,,,,,,,,,00454123,,https://fallout.fandom.com/wiki/Lead_champagne
Lead champagne Bellini,food,,+3 Fall Speed+15 Damage Resistance,,,,,,,,,,,003EC2BD,,https://fallout.fandom.com/wiki/Lead_champagne_Bellini
Lead champagne Mimosa,food,,+3 Fall Speed+100 Radiation Resistance,,,,,15%,,Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,003EC2BC,,https://fallout.fandom.com/wiki/Lead_champagne_Mimosa
Lemonade,food,,+4 Max AP+2 AP Regen,,,,,,,,,,,0045CB9F,,https://fallout.fandom.com/wiki/Lemonade_(Fallout_76)
Mountain honey,food,,+25 Max HP+1 STR+1 CHR-1 INT,,,,,15%,"+1 STR, -1 INT",Alcohol addiction (15%)-1 Charisma-1 Agility,,1.2 (fresh)1.0 (fermentable),20 (fresh)5 (fermentable),000070A0,,https://fallout.fandom.com/wiki/Mountain_honey
Mutfruit juice,drink,,+1 AGI for 30 min,,,+2,,15%,+1 AGI,,,0.5,8,00294526,Super Duper,https://fallout.fandom.com/wiki/Mutfruit_juice
New River Red Ale,food,,+1 STR+1 CHR-1 INT,,,,,,"+1 STR, -1 INT",,,,,0046F4F1,,https://fallout.fandom.com/wiki/New_River_Red_Ale
Nuka-Cola Cranberry,beverage,,+2% Bonus XP for 10 minutes,,,,,,,,,1,10,00598DCD,,https://fallout.fandom.com/wiki/Nuka-Cola_Cranberry
Nuka-Cola Dark,beverage,,PER -1STR +1END +1,,,,,15%,,Alcohol addiction (5%)-1 Charisma-1 Agility,,1,75,003F3053,,https://fallout.fandom.com/wiki/Nuka-Cola_Dark_(Fallout_76)
Nuka-Cola My Blood's In It,beverage,,Reduce damage from Scorched by 15% for 10 minutes. Restores health.,,,,,,,,,Thru-Hiker,,005939C9,,https://fallout.fandom.com/wiki/Nuka-Cola_Vaccinated
Nuka-Cola Orange,beverage,,150 HP50 AP+25 Rad Resist,,,,,15%,,,0%,1,38,00113298,,https://fallout.fandom.com/wiki/Nuka-Cola_Orange_(Fallout_76)
Nukashine,beverage,,+50% AP regen (2 min)-80% sprint AP cost (2 min)+25% fall speed (2 min)Blackout after 2 min-1 STR/END/AGI for 20s after blackout; +50% AP regen (2 min)-80% sprint AP cost (2 min)+25% fall speed (2 min)+25 DR (2 min)+100% unarmed damage  (2 min)Blackout after 2 min-1 STR/END/AGI for 20s after blackout; +50% AP regen (2 min)-80% sprint AP cost (2 min)+25% fall speed (2 min)+25 DR (2 min)+100% unarmed damage  (2 min),,,,,,"-1 STR, -1 STR",,,Thru-hiker,,0047BC14,,https://fallout.fandom.com/wiki/Nukashine
Oak Holler Lager,food,,1 STR1 CHR-1 INT,,,,,15%,"1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,0046F4F7,,https://fallout.fandom.com/wiki/Oak_Holler_Lager
Old Possum,food,,1 STR1 CHR-1 INT,,,,,15%,"1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,0046F4F8,,https://fallout.fandom.com/wiki/Old_Possum
Pickaxe Pilsner,food,,1 STR1 CHR-1 INT,,,,,15%,"1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,0046F4F9,,https://fallout.fandom.com/wiki/Pickaxe_Pilsner
Rad Ant Lager,food,,+50 Carry Weight for 1 minute-50 Carry Weight for 1 minute,,,,,,,,,,,003EC3DF,,https://fallout.fandom.com/wiki/Rad_Ant_Lager
Rum,alcohol,,+1 Strength+1 Agility-1 Intelligence,,,,,,"+1 STR, +1 AGI, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,8,0046F4F2,,https://fallout.fandom.com/wiki/Rum_(Fallout_76)
Simple aster tea,drink,,+2 Rads+10 HP+1 INT,,,,,15%,+1 INT,,,0.5,5,003D7881,,https://fallout.fandom.com/wiki/Simple_aster_tea
Simple fern flower tea,drink,,+2 rads+1 HP/s (10s)+1 Strength,,,,,15%,+1 STR,,,0.5,5,003D787C,,https://fallout.fandom.com/wiki/Simple_fern_flower_tea
Simple gut shroom tea,drink,,+2 rads+1 HP/s (10s)+1 Perception,,,,,,+1 PER,,,,,00424B6E,,https://fallout.fandom.com/wiki/Simple_gut_shroom_tea
Simple soot flower tea,drink,,+10 HP+2 Rads+10 Max AP,,,,,15%,,,,0.5,5,003D7878,,https://fallout.fandom.com/wiki/Simple_soot_flower_tea
Steeped aster tea,drink,,+25 HP+1 Rads+2 INT for 60m,,,,,25%,+2 INT,,,0.5,12,002944D2,,https://fallout.fandom.com/wiki/Steeped_aster_tea
Steeped carrot flower tea,drink,,+25 HP+1 Rads+2 PER,,,,,25%,+2 PER,,,0.5,12,002944D8,,https://fallout.fandom.com/wiki/Steeped_carrot_flower_tea
Steeped fern flower tea,drink,,1 Rads25 HP+2 STR,,,,,25%,+2 STR,,,0.5,11,002944D9,,https://fallout.fandom.com/wiki/Steeped_fern_flower_tea
Steeped fever blossom tea,drink,,1 Rads25 HP5 AP regen,,,,,25%,,,,0.5,11,002944DA,,https://fallout.fandom.com/wiki/Steeped_fever_blossom_tea
Steeped gourd blossom tea,drink,,1 Rads25 HP+2 END,,,,,25%,+2 END,,,0.5,12,002944DB,,https://fallout.fandom.com/wiki/Steeped_gourd_blossom_tea
Steeped melon bloom tea,drink,,+20 Max AP,,,,,,,,,,,002944DD,,https://fallout.fandom.com/wiki/Steeped_melon_bloom_tea
Steeped melon blossom chai,food,,+1 Rads+25 HP+2 AGI,,,,,25%,+2 AGI,,,0.5,12,002944DE,,https://fallout.fandom.com/wiki/Steeped_melon_blossom_chai
Steeped strangler bloom tea,drink,,5 Rads25 HP20 Rad Resist,,,,,25%,,,,0.5,11,002944E0,,https://fallout.fandom.com/wiki/Steeped_strangler_bloom_tea
Steeped strangler pod tea,drink,,+20 Rad Resist,,,,,,,,,,,002944E3,,https://fallout.fandom.com/wiki/Steeped_strangler_pod_tea
Steeped tato flower tea,drink,,+2 INT for 60m+63 HP+1 Rads,,,,,,+2 INT,,,,,002944E4,,https://fallout.fandom.com/wiki/Steeped_tato_flower_tea
Steeped thistle tea,drink,,1 Radiation25 Hit Points+50% Critical Damage for 60 minutes,,,,,25%,,,,0.5,12,002944E7,,https://fallout.fandom.com/wiki/Steeped_thistle_tea
Sunshine oil,food,,+5 Rads+15 DMG Resist+400 AP,,,,,,,,,,,00529DE0,,https://fallout.fandom.com/wiki/Sunshine_oil
Sweet labrador tea,drink,,,,,,,,,,,Thru-hiker,,003A2020,Super Duper,https://fallout.fandom.com/wiki/Sweet_labrador_tea
Sweet mutfruit tea,drink,,+1 Rads+25 HP+50% Critical Damage for 60 minutes,,,,,,,,,,,003C60EE,,https://fallout.fandom.com/wiki/Sweet_mutfruit_tea
Sweetwater Special Blend,drink,,+1 Rads+2 Perception,,,,,25%,+2 PER,Alcohol addiction (5%)-1 Charisma-1 Agility,,0.50,15,002A8E1F,Super Duper,https://fallout.fandom.com/wiki/Sweetwater_Special_Blend
Tato juice,drink,,+10 Max AP for 30 min,,,+2,,15%,,,,0.5,7,0029452C,Super Duper,https://fallout.fandom.com/wiki/Tato_juice
Tick blood Tequila Margarita,food,,Melee attacks restore health but may infect you with a disease.,,,,,15%,,Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,003EC2C7,,https://fallout.fandom.com/wiki/Tick_blood_Tequila_Margarita
Tick blood Tequila Sunrise,food,,Melee attacks replenish hunger but may infect you with a disease. (3 minutes),,,,,15%,,Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,003EC2C8,,https://fallout.fandom.com/wiki/Tick_blood_Tequila_Sunrise
Vodka,alcohol,,+25 Max Hit Points+1 Strength-1 Intelligence for 3m,,,,,,"+1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,0046F4EF,,https://fallout.fandom.com/wiki/Vodka_(Fallout_76)
Whiskey,alcohol,,+2 STR-1 INT,,,,,15%,"+2 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,0046F4F3,,https://fallout.fandom.com/wiki/Whiskey_(Fallout_76)
White Russian,food,,Reduces limb damage by 25%,,,,,15%,,Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,003F5C4D,,https://fallout.fandom.com/wiki/White_Russian
Wine,alcohol,,+1 Strength-1 Intelligence+15 Action Points,,,,,,"+1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,6,0046F4FA,,https://fallout.fandom.com/wiki/Wine_(Fallout_76)
