name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Cranberry cobbler,food,,+5% XP for 30 min,,,,,,,,,Thru-hiker,,003D5F2D,Super Duper,https://fallout.fandom.com/wiki/Cranberry_cobbler
Cranberry jam,food,,+1 Rads+45 HP+10 DMG Resist,,,,,,,,,,,003D5F2F,,https://fallout.fandom.com/wiki/Cranberry_jam
Cranberry meatball grinder,food,,+2 Rads+250 HP+40 Max HP for 90 min,,,,25%,,,,0%,1,47,0012D42C,,https://fallout.fandom.com/wiki/Cranberry_meatball_grinder
Cranberry relish,food,,+10% XP ( 60m),,,,,,,,,Thru-hiker,,003D5F32,,https://fallout.fandom.com/wiki/Cranberry_relish
Crispy flying ant bits,food,,,,,+2,10%,,,,,0.5,8,00294539,Super Duper,https://fallout.fandom.com/wiki/Crispy_flying_ant_bits
Crispy squirrel bits,food,,+2 AGI for 30 min,,,+2,10%,,+2 AGI,,,0.25,6,000330FA,Super Duper,https://fallout.fandom.com/wiki/Crispy_squirrel_bits_(Fallout_76)
Deathclaw steak,food,,+10 Rads+60 HP+2 STR,,,,20%,,+2 STR,,0%,1.5,39,00101293,,https://fallout.fandom.com/wiki/Deathclaw_steak_(Fallout_76)
Deathclaw Wellington,food,,+5 Rads+90 HP+3 STR,,,,25%,,+3 STR,,0%,1,58,001A71E7,,https://fallout.fandom.com/wiki/Deathclaw_Wellington
Dog meat steak,food,,+3 END ( 60m),,,,,,+3 END,,,,,003C60D5,,https://fallout.fandom.com/wiki/Dog_meat_steak
Fasnacht sausage,food,,+40 max HP for 30 minutes,,,+2,20%,,,,,1,12,003EEA45,,https://fallout.fandom.com/wiki/Fasnacht_sausage
Firecap tasty souffle,food,,+2 Rads+60 HP+35 Energy Resist,,,,20%,,,,0%,1,22,003787C7,,https://fallout.fandom.com/wiki/Firecap_tasty_souffle
Fox jerky,food,,+2 AGI for 30 minutes,,,+5,15%,,+2 AGI,,,1,12,004E7228,Super Duper,https://fallout.fandom.com/wiki/Fox_jerky
Fried deerskins,food,,+1 Rads+45 HP+3 AP Regen,,,,15%,,,,0%,1,11,003E9FA4,,https://fallout.fandom.com/wiki/Fried_deerskins
Fried radroach on a stick,food,,Agility +3 for 60 mins,,,+2,15%,,,,,0.25,15,0066D3EF,,https://fallout.fandom.com/wiki/Fried_radroach_on_a_stick
Fried scorpion on a stick,food,,Agility +3 for 60 mins,,,+2,15%,,,,,0.5,25,0066D3F0,,https://fallout.fandom.com/wiki/Fried_scorpion_on_a_stick
Glowing meat steak,food,,+40% melee damagefor 30 min,,,,,,,,,Thru-hiker,,003B9424,,https://fallout.fandom.com/wiki/Glowing_meat_steak
Grilled hermit crab,food,,+5 Rads+30 HP+1 END,,,,10%,,+1 END,,0%,1,39,0011159D,,https://fallout.fandom.com/wiki/Grilled_hermit_crab_(Fallout_76)
Grilled radroach,food,,+1 END for 30 min,,,,,,+1 END,,,Thru-hiker,,0019797D,Super Duper,https://fallout.fandom.com/wiki/Grilled_radroach_(Fallout_76)
Ground mole rat,food,,+2 Rads60 HP+3 AGI,,,,20%,,+3 AGI,,0%,0.5,11,0004A3B8,,https://fallout.fandom.com/wiki/Ground_mole_rat_(Fallout_76)
Gulper stuffed foot,food,,Strength +2 for 60 mins,,,+5,15%,,,,,0.1,40,00669394,,https://fallout.fandom.com/wiki/Gulper_stuffed_foot
Gum drops,food,,+0.70 Rads+4 HP+60 AP,,,,6%,,,,0%,0.25,5,000330FC,,https://fallout.fandom.com/wiki/Gum_drops_(Fallout_76)
Halloween candy,food,,+2 Rads+5 AP,,,,,,,,,,,0051A9FC,,https://fallout.fandom.com/wiki/Halloween_candy
Headhunter's headcheese,food,,+10 DR for 30 min,,,+15,10%,-5%,,,6%,1.0,6,005543B4,,https://fallout.fandom.com/wiki/Headhunter%27s_headcheese
Honey,food,,,,,+5,3.33%,,,,1%,0.25,5,004E7229,,https://fallout.fandom.com/wiki/Honey
Honeycomb,food,,+2 Rads+60 AP,,,,10%,,,,2%,0.25,5,004E722A,,https://fallout.fandom.com/wiki/Honeycomb
Hotdog,food,,+30 Max HP for 30 minutes,,,+5,15%,,,,,1.0,12,00042828,,https://fallout.fandom.com/wiki/Hotdog_(Fallout_76)
Iguana on a stick,food,,+1 LCK for 30 min,,,,,,+1 LCK,,,Thru-hiker,,000330FE,Super Duper,https://fallout.fandom.com/wiki/Iguana_on_a_stick_(Fallout_76)
Light mutant hound chops,food,,+20% melee damagefor 30 min,,,,,,,,,Thru-hiker,,007331D1,,https://fallout.fandom.com/wiki/Light_mutant_hound_chops
Light mutton chops,food,,+20% melee damagefor 30 min,,,,,,,,,Thru-hiker,,007331D0,,https://fallout.fandom.com/wiki/Light_mutton_chops
Light yao guai ribs,food,,+20% melee damagefor 30 min,,,,,,,,,Thru-hiker,,007331D2,,https://fallout.fandom.com/wiki/Light_yao_guai_ribs
Megasloth tenderloin,food,,+5 Rads+90 HP+35 Energy Resist,,,,25%,,,,0%,1,61,003D749C,,https://fallout.fandom.com/wiki/Megasloth_tenderloin
Mirelurk egg omelette,food,,+2 AP regen/s for 30 min,,,+5,10%,,,,,0.25,22,0004693E,Super Duper,https://fallout.fandom.com/wiki/Mirelurk_egg_omelette_(Fallout_76)
Mirelurk jerky,food,,+15 DMG Resist,,,2,20%,,,,0%,1,42,00110F7D,,https://fallout.fandom.com/wiki/Mirelurk_jerky_(Fallout_76)
Mirelurk queen steak,food,,+5 Rads+45 HP+2 END,,,,15%,,+2 END,,0%,1.5,39,0021C00C,,https://fallout.fandom.com/wiki/Mirelurk_queen_steak_(Fallout_76)
Mirelurk softshell cake,food,,+2 Rads+60 HP+3 AGI,,,,20%,,+3 AGI,,0%,0.5,33,003C60DD,,https://fallout.fandom.com/wiki/Mirelurk_softshell_cake
Mole rat chunks,food,,+1 STR for 30 min,,,+5,10%,,+1 STR,,,0.5,8,00046943,Super Duper,https://fallout.fandom.com/wiki/Mole_rat_chunks_(Fallout_76)
Mole rat jerky,food,,+1 Strength for 30 min,,,+5,10%,,+1 STR,,,0.5,8,00674BBA,,https://fallout.fandom.com/wiki/Mole_rat_jerky
Mountain hocks,food,,+5 Rads+5 HP+10% Disease Resistance,,,,10%,,,,0%,1,6,003E9FA5,,https://fallout.fandom.com/wiki/Mountain_hocks
Mud cookie,food,,+5 Rads+25 HP+180 AP,,,,10%,,,,0%,1,6,00529DDF,,https://fallout.fandom.com/wiki/Mud_cookie
Mutant hound chops,food,,+40% melee damagefor 30 min,,,,,,,,,Thru-hiker,,0021188E,,https://fallout.fandom.com/wiki/Mutant_hound_chops_(Fallout_76)
Mutt chops,food,,+5 Rads+45 HP+2 END,,,,15%,,+2 END,,0%,1,12,00046940,,https://fallout.fandom.com/wiki/Mutt_chops_(Fallout_76)
Mutton chops,food,,+40% Melee Damage for 30 min,,,,,,,,,Thru-hiker,,0046ECB2,,https://fallout.fandom.com/wiki/Mutton_chops
Mystery meat pie,food,,+2 Rads+60 HP+20 Carry Weight+3 END,,,,15%,,+3 END,,0%,1,12,0040FC27,,https://fallout.fandom.com/wiki/Mystery_meat_pie
Nuka-Bottle dog,beverage,,+30 Max HP for 60 min,,,+5,15%,,,,,1,18,0066D3F4,,https://fallout.fandom.com/wiki/Nuka-Bottle_dog
Nuka-dog,beverage,,+30 Max HP for 60 min,,,+5,15%,,,,,1,18,0066D3F3,,https://fallout.fandom.com/wiki/Nuka-dog
Owlet nuggets,food,,+1 INT for 30 minutes,,,+2,10%,,+1 INT,,,1,12,004E722C,Super Duper,https://fallout.fandom.com/wiki/Owlet_nuggets
Pemmican,food,,+3 END for 60 Minutes+45 HP+0.7 Rads,,,,25%,,+3 END,,,0.1,15,003EFC23,,https://fallout.fandom.com/wiki/Pemmican
Poached angler,food,,+20 Max AP for 30 min,,,+5,15%,,,,,0.5,28,00110BA5,Super Duper,https://fallout.fandom.com/wiki/Poached_angler_(Fallout_76)
Pothole potpie,food,,+15 Rads+30 HP+10 Damage Resistance,,,,10%,15%,,,0%,1,6,003EAA34,,https://fallout.fandom.com/wiki/Pothole_potpie
Pumpkin pie,food,,+5 Rads+45 HP+40 Max HP for 1 hour,,,,20%,,,,,1,11,0036899A,,https://fallout.fandom.com/wiki/Pumpkin_pie
Radrat steak,food,,+2 PER for 30 min,,,+5,15%,,+2 PER,,,0.5,8,001142D7,Super Duper,https://fallout.fandom.com/wiki/Radrat_steak_(Fallout_76)
Radscorpion fillet,food,,+35 ER for 60 min,,,,,,,,,Thru-hiker,,003D7498,Super Duper,https://fallout.fandom.com/wiki/Radscorpion_fillet
Radscorpion kebab,food,,+35 Energy Resistance for 60 min,,,+5,25%,,,,,1,61,0066DFC2,,https://fallout.fandom.com/wiki/Radscorpion_kebab
Radscorpion steak,food,,+10 Rads+60 HP+25 Energy Resistance,,,,20%,,,,,1.5,19,00046950,,https://fallout.fandom.com/wiki/Radscorpion_steak_(Fallout_76)
Radtoad omelette,food,,+1 END for 30 min,,,+5,10%,,+1 END,,,0.25,27,0003E053,Super Duper,https://fallout.fandom.com/wiki/Radtoad_omelette
Roast megasloth,food,,5 Rads60 HP25 Energy Resist,,,,15%,,,,,1.5,39,001C71A8,,https://fallout.fandom.com/wiki/Roast_megasloth
Roasted mirelurk meat,food,,+2 Rads+25 HP+10 Max AP,,,,10%,,,,0%,1,28,00046941,,https://fallout.fandom.com/wiki/Roasted_mirelurk_meat_(Fallout_76)
Roasted scorchbeast heart,food,,+10 Rads+200 HP+3 END,,,,25%,,+3 END,,0%,1.5,40,001C71A0,,https://fallout.fandom.com/wiki/Roasted_scorchbeast_heart
Royal jelly,food,,,,,+5,10%,,,,1%,0.5,48,00329C9E,,https://fallout.fandom.com/wiki/Royal_jelly_(consumable)
Royal jelly taffy,food,,5 Rads30 HP120 AP,,,,15%,,,,0%,0.5,39,003D749A,,https://fallout.fandom.com/wiki/Royal_jelly_taffy
S'mores,food,,+8 Rads+45 HP+10 Max AP,,,,25%,,,,,0.5,11,0046D292,,https://fallout.fandom.com/wiki/S%27mores
Scorchbeast steak,food,,+10 Rads+200 HP+15 DMG Resist,,,,25%,,,,0%,1.5,40,0019C225,,https://fallout.fandom.com/wiki/Scorchbeast_steak
Seared venison with berries,food,,+2 Rads+250 HP+3 Luck for 90 min,,,,25%,,+3 LUC,,0%,1,31,003D5F37,,https://fallout.fandom.com/wiki/Seared_venison_with_berries
Seasoned rabbit skewers,food,,+1 LCK for 30 min,,,+2,10%,,+1 LCK,,,0.25,15,001119D8,Super Duper,https://fallout.fandom.com/wiki/Seasoned_rabbit_skewers_(Fallout_76)
Smoked scorchbeast lung,food,,+10 Rads+200 HP+3 AGI (30m),,,,25%,,+3 AGI,,0%,1.5,40,001C71A5,,https://fallout.fandom.com/wiki/Smoked_scorchbeast_lung
Squirrel on a stick,food,,+2 Rads45 HP+3 AGI,,,,15%,,+3 AGI,,,0.25,15,000366BB,,https://fallout.fandom.com/wiki/Squirrel_on_a_stick_(Fallout_76)
Starlight berry cobbler,food,,+1 END for 30 min,,,+2,10%,,+1 END,,,0.5,8,003D787A,Super Duper,https://fallout.fandom.com/wiki/Starlight_berry_cobbler
Stingwing filet,food,,+2 STR for 30 min,,,+5,15%,,+2 STR,,,0.5,25,00046945,Super Duper,https://fallout.fandom.com/wiki/Stingwing_filet_(Fallout_76)
Sugar,food,,+5 Rads+60 AP,,,,1.25%,,,,,0.25,6,00118614,,https://fallout.fandom.com/wiki/Sugar
Sugar Bombs,food,,+5 HP+60 Action Points,,,,8%,,,,,0.5,9,000330F2,,https://fallout.fandom.com/wiki/Sugar_Bombs_(Fallout_76)
Sweet roll,food,,2 Rads90 HP300 AP3 CHR,,,,20%,,,,,0.25,23,000366BE,,https://fallout.fandom.com/wiki/Sweet_roll_(Fallout_76)
Tasty mutton meat pie,food,,+85% melee damagefor 60 min,,,,,,,,,Thru-hiker,,0046ECB1,,https://fallout.fandom.com/wiki/Tasty_mutton_meat_pie
Tato salad,food,,+30 Max HP+45 HP+4 Rads,,,,15%,,,,,1,6,005527BE,,https://fallout.fandom.com/wiki/Tato_salad
Tato salad surprise,food,,5 Rads45 HP5 AP Regen,,,,15%,,,,,1,6,00529DDD,,https://fallout.fandom.com/wiki/Tato_salad_surprise
Wolf ribs,food,,+2 Perception+45 Hit Points+4 Rads,,,,15%,,+2 PER,,,1,16,001113DF,,https://fallout.fandom.com/wiki/Wolf_ribs_(Fallout_76)
Yao guai ribs,food,,+40% melee damagefor 30 min,,,,,,,,,Thru-hiker,,00046955,,https://fallout.fandom.com/wiki/Yao_guai_ribs_(Fallout_76)
